id,clave,nombre
cve_clave_unidad322,XXB,Bolsa de tejido plástico a prueba de filtraciones
cve_clave_unidad323,XXC,Bolsa de tejido plástico resistente al agua
cve_clave_unidad324,XXD,Bolsa con película de plástico
cve_clave_unidad325,XXF,Bolsa textil sin capa ni forro interior
cve_clave_unidad326,XXG,Bolsa textil a prueba de filtraciones
cve_clave_unidad327,XXH,Bolsa textil resistente al agua
cve_clave_unidad328,XXJ,Bolsa de papel multi-pared
cve_clave_unidad329,XXK,"Bolsa de papel multi-pared, resistente al agua"
cve_clave_unidad330,XYA,"Empaque compuesto, recipiente de plástico en tambor de acero"
cve_clave_unidad331,XYB,"Empaque compuesto, recipiente de plástico en cajas de acero"
cve_clave_unidad332,XYC,"Empaque compuesto, recipiente de plástico en tambor de aluminio"
cve_clave_unidad333,XYD,"Empaque compuesto, recipiente de plástico en cajón de aluminio"
cve_clave_unidad334,XYF,"Empaque compuesto, recipiente de plástico en caja de madera"
cve_clave_unidad335,XYG,"Empaque compuesto, recipiente de plástico en tambor de madera contrachapada"
cve_clave_unidad336,XYH,"Empaque compuesto, recipiente de plástico en caja de madera contrachapada"
cve_clave_unidad337,XYJ,"Empaque compuesto, recipiente de plástico en tambor de fibra"
cve_clave_unidad338,XYK,"Empaque compuesto, recipiente de plástico en caja de cartón"
cve_clave_unidad339,XYL,"Empaque compuesto, recipiente de plástico en el tambor de plástico"
cve_clave_unidad340,XYM,"Empaque compuesto, recipiente de plástico en caja de plástico sólido"
cve_clave_unidad341,XYN,"Empaque compuesto, receptáculo de vidrio en tambor de acero"
cve_clave_unidad342,XYP,"Empaque compuesto, receptáculo de vidrio en caja de cajas de acero"
cve_clave_unidad343,XYQ,"Empaque compuesto, recipiente de vidrio en tambor de aluminio"
cve_clave_unidad344,XYR,"Empaque compuesto, receptáculo de vidrio en caja de aluminio"
cve_clave_unidad345,XYS,"Empaque compuesto, recipiente de vidrio en caja de madera"
cve_clave_unidad346,XYT,"Empaque compuesto, recipiente de vidrio en tambor de madera contrachapada"
cve_clave_unidad347,Xyv,"Empaque compuesto, recipiente de vidrio en el cesto de mimbre"
cve_clave_unidad348,XYW,"Empaque compuesto, recipiente de vidrio en tambor de fibra"
cve_clave_unidad349,XYX,"Empaque compuesto, recipiente de vidrio en caja de cartón"
cve_clave_unidad350,XYY,"Empaque compuesto, recipiente de vidrio en paquete de plástico expandible"
cve_clave_unidad351,XYZ,"Empaque compuesto, recipiente de vidrio en paquete de plástico sólido"
cve_clave_unidad352,XZA,"Contenedor de granel intermedio, papel, multi-pared"
cve_clave_unidad353,XZB,Bolsa grande
